BioNetGen version 2.8.3
Reading from file /Users/faeder/Library/CloudStorage/OneDrive-UniversityofPittsburgh/BioNetGen/Workshop_2022/bionetgen/Day4/egfr_simple/2022_07_14__13_49_30/egfr_simple.bngl (level 0)
Read 19 parameters.
Read 4 molecule types.
Read 4 species.
Read 6 observable(s).
Read 7 reaction rule(s).
Set concentration of species EGF(R) to value EGF_init
CPU TIME: setConcentration 0.00 s.
ACTION: simulate( method=>"nf" )
NetworkFree simulation using nf
ACTION: simulate_nf( )
Wrote model in xml format to ./egfr_simple.xml.
Running NFsim on Jamess-MBP
full command: /Users/faeder/opt/anaconda3/lib/python3.9/site-packages/bionetgen/bng-mac/bin/NFsim -xml ./egfr_simple.xml -o ./egfr_simple.gdat -sim 600 -oSteps 200 -ss ./egfr_simple.species -seed 443637239 -gml 2000000 -cb
[simulation PID is: 42781]
starting NFsim v1.2.2...

Seeding random number generator with: 443637239
reading xml file (./egfr_simple.xml)
[----
Warning!! Creating a Species Observable!  NFsim does not keep track of Species
by default, so this type of observable requires complex bookkeeping to be turned on
which makes NFsim run slower.  Be sure that you need this observable!

--
Warning! You have a binding rxn (rdim) that allows a moleculeType to bind another of the same type.
Make sure that is correct, because this can potentially make long polymers or large aggregates.

-]
preparing simulation...



Equilibrating for :0s.  Please wait.

simulating system for: 6.000000e+02 second(s).

Sim time: 0.000000e+00	CPU time (total): 1.000000e-04s	 events (step): 0
Sim time: 3.000000e+00	CPU time (total): 1.275900e-02s	 events (step): 4806
Sim time: 6.000000e+00	CPU time (total): 2.524600e-02s	 events (step): 3984
Sim time: 9.000000e+00	CPU time (total): 3.762900e-02s	 events (step): 4000
Sim time: 1.200000e+01	CPU time (total): 4.935900e-02s	 events (step): 3855
Sim time: 1.500000e+01	CPU time (total): 6.335100e-02s	 events (step): 3682
Sim time: 1.800000e+01	CPU time (total): 7.761500e-02s	 events (step): 3588
Sim time: 2.100000e+01	CPU time (total): 9.093300e-02s	 events (step): 3611
Sim time: 2.400000e+01	CPU time (total): 1.029970e-01s	 events (step): 3344
Sim time: 2.700000e+01	CPU time (total): 1.169010e-01s	 events (step): 3230
Sim time: 3.000000e+01	CPU time (total): 1.283230e-01s	 events (step): 3260
Sim time: 3.300000e+01	CPU time (total): 1.404950e-01s	 events (step): 3292
Sim time: 3.600000e+01	CPU time (total): 1.501630e-01s	 events (step): 3143
Sim time: 3.900000e+01	CPU time (total): 1.613770e-01s	 events (step): 2919
Sim time: 4.200000e+01	CPU time (total): 1.709010e-01s	 events (step): 3021
Sim time: 4.500000e+01	CPU time (total): 1.798310e-01s	 events (step): 2878
Sim time: 4.800000e+01	CPU time (total): 1.893200e-01s	 events (step): 2866
Sim time: 5.100000e+01	CPU time (total): 1.976420e-01s	 events (step): 2859
Sim time: 5.400000e+01	CPU time (total): 2.075620e-01s	 events (step): 2687
Sim time: 5.700000e+01	CPU time (total): 2.166160e-01s	 events (step): 2598
Sim time: 6.000000e+01	CPU time (total): 2.254820e-01s	 events (step): 2597
Sim time: 6.300000e+01	CPU time (total): 2.341910e-01s	 events (step): 2483
Sim time: 6.600000e+01	CPU time (total): 2.410370e-01s	 events (step): 2368
Sim time: 6.900000e+01	CPU time (total): 2.485630e-01s	 events (step): 2346
Sim time: 7.200000e+01	CPU time (total): 2.558730e-01s	 events (step): 2343
Sim time: 7.500000e+01	CPU time (total): 2.628300e-01s	 events (step): 2334
Sim time: 7.800000e+01	CPU time (total): 2.684680e-01s	 events (step): 2216
Sim time: 8.100000e+01	CPU time (total): 2.758660e-01s	 events (step): 2252
Sim time: 8.400000e+01	CPU time (total): 2.827210e-01s	 events (step): 2239
Sim time: 8.700000e+01	CPU time (total): 2.900210e-01s	 events (step): 2209
Sim time: 9.000000e+01	CPU time (total): 2.957570e-01s	 events (step): 2108
Sim time: 9.300000e+01	CPU time (total): 3.028380e-01s	 events (step): 2178
Sim time: 9.600000e+01	CPU time (total): 3.081360e-01s	 events (step): 1944
Sim time: 9.900000e+01	CPU time (total): 3.142960e-01s	 events (step): 1995
Sim time: 1.020000e+02	CPU time (total): 3.209000e-01s	 events (step): 1852
Sim time: 1.050000e+02	CPU time (total): 3.257090e-01s	 events (step): 1843
Sim time: 1.080000e+02	CPU time (total): 3.306400e-01s	 events (step): 1740
Sim time: 1.110000e+02	CPU time (total): 3.366960e-01s	 events (step): 1752
Sim time: 1.140000e+02	CPU time (total): 3.417160e-01s	 events (step): 1769
Sim time: 1.170000e+02	CPU time (total): 3.458030e-01s	 events (step): 1715
Sim time: 1.200000e+02	CPU time (total): 3.506110e-01s	 events (step): 1734
Sim time: 1.230000e+02	CPU time (total): 3.554470e-01s	 events (step): 1677
Sim time: 1.260000e+02	CPU time (total): 3.598470e-01s	 events (step): 1679
Sim time: 1.290000e+02	CPU time (total): 3.652800e-01s	 events (step): 1578
Sim time: 1.320000e+02	CPU time (total): 3.700730e-01s	 events (step): 1631
Sim time: 1.350000e+02	CPU time (total): 3.747980e-01s	 events (step): 1550
Sim time: 1.380000e+02	CPU time (total): 3.794380e-01s	 events (step): 1551
Sim time: 1.410000e+02	CPU time (total): 3.834700e-01s	 events (step): 1554
Sim time: 1.440000e+02	CPU time (total): 3.874750e-01s	 events (step): 1506
Sim time: 1.470000e+02	CPU time (total): 3.908390e-01s	 events (step): 1461
Sim time: 1.500000e+02	CPU time (total): 3.949040e-01s	 events (step): 1489
Sim time: 1.530000e+02	CPU time (total): 3.991870e-01s	 events (step): 1468
Sim time: 1.560000e+02	CPU time (total): 4.029940e-01s	 events (step): 1432
Sim time: 1.590000e+02	CPU time (total): 4.066480e-01s	 events (step): 1403
Sim time: 1.620000e+02	CPU time (total): 4.107590e-01s	 events (step): 1334
Sim time: 1.650000e+02	CPU time (total): 4.140050e-01s	 events (step): 1382
Sim time: 1.680000e+02	CPU time (total): 4.170550e-01s	 events (step): 1315
Sim time: 1.710000e+02	CPU time (total): 4.211020e-01s	 events (step): 1390
Sim time: 1.740000e+02	CPU time (total): 4.251080e-01s	 events (step): 1388
Sim time: 1.770000e+02	CPU time (total): 4.291830e-01s	 events (step): 1325
Sim time: 1.800000e+02	CPU time (total): 4.327110e-01s	 events (step): 1259
Sim time: 1.830000e+02	CPU time (total): 4.358520e-01s	 events (step): 1250
Sim time: 1.860000e+02	CPU time (total): 4.392170e-01s	 events (step): 1153
Sim time: 1.890000e+02	CPU time (total): 4.424280e-01s	 events (step): 1168
Sim time: 1.920000e+02	CPU time (total): 4.449770e-01s	 events (step): 1081
Sim time: 1.950000e+02	CPU time (total): 4.476490e-01s	 events (step): 1129
Sim time: 1.980000e+02	CPU time (total): 4.515080e-01s	 events (step): 1169
Sim time: 2.010000e+02	CPU time (total): 4.545440e-01s	 events (step): 1102
Sim time: 2.040000e+02	CPU time (total): 4.576130e-01s	 events (step): 1087
Sim time: 2.070000e+02	CPU time (total): 4.602820e-01s	 events (step): 977
Sim time: 2.100000e+02	CPU time (total): 4.632220e-01s	 events (step): 1092
Sim time: 2.130000e+02	CPU time (total): 4.662500e-01s	 events (step): 1107
Sim time: 2.160000e+02	CPU time (total): 4.688980e-01s	 events (step): 1027
Sim time: 2.190000e+02	CPU time (total): 4.712840e-01s	 events (step): 969
Sim time: 2.220000e+02	CPU time (total): 4.739770e-01s	 events (step): 977
Sim time: 2.250000e+02	CPU time (total): 4.763580e-01s	 events (step): 973
Sim time: 2.280000e+02	CPU time (total): 4.786080e-01s	 events (step): 999
Sim time: 2.310000e+02	CPU time (total): 4.815710e-01s	 events (step): 954
Sim time: 2.340000e+02	CPU time (total): 4.840140e-01s	 events (step): 932
Sim time: 2.370000e+02	CPU time (total): 4.859840e-01s	 events (step): 891
Sim time: 2.400000e+02	CPU time (total): 4.879140e-01s	 events (step): 898
Sim time: 2.430000e+02	CPU time (total): 4.903250e-01s	 events (step): 862
Sim time: 2.460000e+02	CPU time (total): 4.928120e-01s	 events (step): 884
Sim time: 2.490000e+02	CPU time (total): 4.948840e-01s	 events (step): 890
Sim time: 2.520000e+02	CPU time (total): 4.973400e-01s	 events (step): 869
Sim time: 2.550000e+02	CPU time (total): 4.994560e-01s	 events (step): 775
Sim time: 2.580000e+02	CPU time (total): 5.017790e-01s	 events (step): 876
Sim time: 2.610000e+02	CPU time (total): 5.039480e-01s	 events (step): 811
